Name,3x3 time,4x4 time
Feliks,5.53,22.75
Max,5.59,21.11
Rowe,7.63,31.6
Erik,8.08,31.53
Vincent,7.94,27.73
Michał,7.05,36.94
Emanuel,8.7,32.02
Katie,6.0,22.9
